Lat Diff	Long Diff	Store ID	Google Lat	KS Lat	Google Long	KS Long
s-0.006209500000004198	0.007125400000006721	25silverboutiquecoloniecenter	42.7135895	42.719799	-73.8135406	-73.820666
-0.009458199999997419	0.14611419999999953	25silverboutiqueplattsburgh	44.7024118	44.71187	-73.4909898	-73.637104
0.004762699999993458	-0.0030760999999870364	23southenglewood	40.8942607	40.889498	-73.97485809999999	-73.971782
0.023903300000000627	0.025867300000001592	23south	40.7955533	40.77165	-74.48038869999999	-74.506256
-0.16254630000000247	0.11202889999999854	25silverboutiquequeensbury	43.3269257	43.489472	-73.6775341	-73.789563
-0.01643220000001122	0.017714699999999084	25silverboutiquestuyvesantplaza	42.68391279999999	42.700345	-73.8397813	-73.857496
5.260556600000005	3.4955851000000138	2jewels	33.0849266	27.82437	-94.08848189999999	-97.584067
0.0011314000000055557	-0.006982399999998279	2ndstreetbeautybelmontshore	33.7610164	33.759885	-118.1371424	-118.13016
0.14135500000000434	-0.3011580000000009	2ndstreetbeautysealbeach	33.781657	33.640302	-118.0706	-117.769442
-0.025744100000004266	0.019923900000009098	310rosemontblacksburg	37.2305389	37.256283	-80.41480609999999	-80.43473
0.10219759999999667	-0.06263330000000167	5thstreetclothingco.	39.7285596	39.626362	-121.8401793	-121.777546
-0.00041339999999934207	0.002309199999999123	ETONCHAGRIN	41.4630096	41.463423	-81.4766348	-81.478944
-0.000264800000000065	0.001134899999996719	LAKESIDE	30.0061732	30.006438	-90.1585271	-90.159662
0.0009857999999987044	0.0014096999999964055	LAPALMERA	27.7110228	27.710037	-97.3724543	-97.373864
0.00105920000000026	0.0027197000000001026	ORCHARDSHOPPINGCENTER	42.0594632	42.058404	-87.7492413	-87.751961
-0.0000400999999996543	0.002231899999998177	OXMOOR	38.2466899	38.24673	-85.6104261	-85.612658
-0.0010019999999997253	0.0016825999999952046	STJOHNSTOWNCTR	30.254219	30.255221	-81.5255614	-81.527244
-0.0007029000000002839	-0.00822019999999668	a.s.cooper	40.6713491	40.672052	-74.19165819999999	-74.183438
0.02314750000000032	-0.002534400000001824	a&jjewelers	33.8866015	33.863454	-84.0106004	-84.008066
0.07714320000000185	0.06749109999999803	accentssheratonchicagohotel	41.8890722	41.811929	-87.6198289	-87.68732
-0.010256000000005372	0.001812000000001035	accentprone	36.108056	36.118312	-80.099459	-80.101271
0.0012279000000035012	0.008734900000007428	accentswestinhotelcopleyplace	42.3484349	42.347207	-71.07736009999999	-71.086095
0.04367319999999708	-0.040719699999996806	acoridiamonds&design	29.5258582	29.482185	-95.19726469999999	-95.156545
-0.036086199999999735	0.02698519999998439	accentstheroyalhawaiian	20.6874558	20.723542	-156.4429298	-156.469915
0.012373800000002433	0.00044260000001372646	adelaide'sboutique	29.5838518	29.571478	-95.13127639999999	-95.131719
4.999999987376214e-7	0.002188500000002591	accentshiltonbostonloganairport	42.3675085	42.367508	-71.0229555	-71.025144
0.015980100000000164	0.043086400000007075	adair	35.4266681	35.410688	-80.6153186	-80.658405
0.021280599999997207	0.01072820000000263	adornbyjewelrygirlboutique	38.8831676	38.861887	-94.6502658	-94.660994
0.06088299999999691	0.04789200000000449	adornbyjewelrygirllawrence	38.968401	38.907518	-95.23608999999999	-95.283982
-0.017536899999999633	0.07153620000001126	adornhillcountrygalleria	30.3093291	30.326866	-97.94200579999999	-98.013542
0.07807600000000292	0.34209200000000806	adornments	41.000402	40.922326	-72.294986	-72.637078
0.032272200000001305	-0.09623499999999297	agallerie	31.5600242	31.527752	-91.40325999999999	-91.307025
-0.002844100000004346	-0.008637999999990598	alba	40.9794029	40.982247	-74.120708	-74.11207
0.025911900000004096	0.05603630000000237	alapage	42.9633419	42.93743	-71.4794787	-71.535515
-0.027930999999998818	-0.02647299999999575	adornlakeway	30.342526	30.370457	-97.969194	-97.942721
-0.07411460000000147	0.09648080000000903	alibinewbraunfels	29.7023734	29.776488	-98.12456019999999	-98.221041
0.03461300000000023	-0.02778899999999851	albert'sjewelers	41.522346	41.487733	-87.469314	-87.441525
-0.09639130000000051	-0.04152000000000555	alicial	39.4163567	39.512748	-77.410819	-77.369299
0.03541129999999981	0.007682700000003706	allieharper	34.8666573	34.831246	-84.3236563	-84.331339
0.027581999999995332	0.10014009999999018	alittlemad	44.389905	44.362323	-68.20537290000001	-68.305513
-0.020366600000002677	-0.20647459999999285	ally'sboutique	39.9320464	39.952413	-91.4071506	-91.200676
0.005318200000001383	-0.03669719999999188	alspaugh'sacehardwareofthewoodlands	30.1768912	30.171573	-95.53519419999999	-95.498497
-0.007426800000001066	-0.011136999999990849	alter'sgem	30.1078682	30.115295	-94.16905299999999	-94.157916
0.21339610000000064	0.2520552000000009	alspaugh'ssterlingevents	30.0473861	29.83399	-95.1821858	-95.434241
0	0.002194000000002916	amano	26.131315	26.131315	-81.801407	-81.803601
0.07085190000000097	-0.009889900000004559	amazinggrace	34.0810539	34.010202	-96.7648739	-96.754984
0.0011124000000037881	-0.0025000999999917894	ambiancehaightst.	37.7701914	37.769079	-122.4463821	-122.443882
-0.0017287000000010266	0.005806599999999662	ambianceunionst.	37.7979413	37.79967	-122.4299254	-122.435732
-0.0017010000000041714	0.0020130000000051496	amendolaro	41.408378	41.410079	-75.664771	-75.666784
-0.007241200000002834	0.012642400000004272	anchoredinpink	41.4803108	41.487552	-71.3144416	-71.327084
0.00042199999998615567	0.000029000000012047167	americancandlecompany	41.00655099999999	41.006129	-75.28375799999999	-75.283787
